Using device:  cpu
title 322: 0.13
title 826: 0.13
title 103: 0.13
title 83: 0.13
title 527: 0.13
title 551: 0.13
title 996: 0.12
title 742: 0.12
title 159: 0.12
title 518: 0.12
title 72: 0.12
title 689: 0.12
title 861: 0.12
title 796: 0.12
title 650: 0.12
title 591: 0.12
title 597: 0.12
title 694: 0.12
title 619: 0.12
title 776: 0.12
title 935: 0.12
title 115: 0.12
title 459: 0.12
title 839: 0.12
title 880: 0.12
title 993: 0.12
title 845: 0.12
title 830: 0.12
title 951: 0.12
title 301: 0.12
title 279: 0.12
title 785: 0.12
title 553: 0.12
title 967: 0.12
title 352: 0.12
title 205: 0.12
title 46: 0.12
title 425: 0.12
title 133: 0.12
title 203: 0.12
title 837: 0.12
title 320: 0.12
title 47: 0.12
title 105: 0.12
title 863: 0.12
title 118: 0.12
title 344: 0.12
title 69: 0.12
title 275: 0.12
title 121: 0.12
title 925: 0.12
title 16: 0.12
title 419: 0.12
title 981: 0.12
title 327: 0.12
title 878: 0.12
title 917: 0.12
title 76: 0.12
title 725: 0.12
title 290: 0.12
title 491: 0.12
title 723: 0.12
title 229: 0.11
title 90: 0.11
title 442: 0.11
title 86: 0.11
title 25: 0.11
title 135: 0.11
title 9: 0.11
title 267: 0.11
title 125: 0.11
title 486: 0.11
title 217: 0.11
title 303: 0.11
title 270: 0.11
title 888: 0.11
title 280: 0.11
title 286: 0.11
title 549: 0.11
title 447: 0.11
title 351: 0.11
title 598: 0.11
title 328: 0.11
title 624: 0.11
title 194: 0.11
title 857: 0.11
title 50: 0.11
title 953: 0.11
title 101: 0.11
title 405: 0.11
title 251: 0.11
title 831: 0.11
title 361: 0.11
title 225: 0.11
title 485: 0.11
title 881: 0.11
title 449: 0.11
title 210: 0.11
title 873: 0.11
title 747: 0.11
title 300: 0.11
title 347: 0.11
title 323: 0.11
title 548: 0.11
title 916: 0.11
title 284: 0.11
title 400: 0.11
title 319: 0.11
title 468: 0.11
title 154: 0.11
title 434: 0.11
title 35: 0.11
title 733: 0.11
title 606: 0.11
title 41: 0.11
title 578: 0.11
title 142: 0.11
title 842: 0.11
title 173: 0.11
title 693: 0.11
title 500: 0.11
title 150: 0.11
title 745: 0.11
title 168: 0.11
title 364: 0.11
title 908: 0.11
title 40: 0.11
title 663: 0.11
title 332: 0.11
title 920: 0.11
title 638: 0.11
title 515: 0.11
title 324: 0.11
title 91: 0.11
title 422: 0.11
title 621: 0.11
title 565: 0.11
title 431: 0.11
title 846: 0.11
title 543: 0.11
title 874: 0.11
title 627: 0.11
title 934: 0.11
title 739: 0.11
title 387: 0.11
title 141: 0.11
title 448: 0.11
title 27: 0.11
title 15: 0.11
title 568: 0.11
title 877: 0.11
title 876: 0.11
title 348: 0.11
title 167: 0.11
title 257: 0.11
title 395: 0.11
title 687: 0.11
title 53: 0.11
title 770: 0.11
title 540: 0.11
title 362: 0.11
title 910: 0.11
title 38: 0.11
title 581: 0.11
title 590: 0.11
title 285: 0.11
title 470: 0.11
title 911: 0.11
title 48: 0.11
title 325: 0.11
title 986: 0.11
title 631: 0.11
title 774: 0.11
title 45: 0.11
title 937: 0.11
title 818: 0.11
title 282: 0.11
title 85: 0.11
title 961: 0.11
title 211: 0.11
title 554: 0.11
title 171: 0.11
title 651: 0.11
title 738: 0.11
title 295: 0.11
title 146: 0.11
title 396: 0.11
title 889: 0.11
title 804: 0.11
title 926: 0.11
title 283: 0.11
title 497: 0.11
title 209: 0.11
title 106: 0.11
title 149: 0.11
title 684: 0.11
title 313: 0.11
title 766: 0.11
title 504: 0.11
title 675: 0.11
title 718: 0.11
title 853: 0.11
title 512: 0.11
title 836: 0.11
title 108: 0.11
title 536: 0.11
title 909: 0.11
title 685: 0.11
title 612: 0.11
title 429: 0.11
title 866: 0.11
title 455: 0.11
title 630: 0.11
title 869: 0.11
title 79: 0.11
title 879: 0.11
title 628: 0.11
title 126: 0.11
title 451: 0.11
title 356: 0.11
title 469: 0.11
title 289: 0.11
title 93: 0.11
title 371: 0.11
title 389: 0.11
title 923: 0.11
title 620: 0.11
title 174: 0.11
title 668: 0.11
title 924: 0.11
title 221: 0.11
title 635: 0.11
title 98: 0.11
title 34: 0.11
title 769: 0.11
title 760: 0.11
title 134: 0.11
title 128: 0.11
title 984: 0.11
title 51: 0.11
title 721: 0.11
title 268: 0.11
title 246: 0.11
title 39: 0.11
title 184: 0.11
title 95: 0.11
title 353: 0.11
title 780: 0.11
title 994: 0.11
title 241: 0.11
title 102: 0.11
title 605: 0.11
title 611: 0.11
title 316: 0.11
title 584: 0.11
title 714: 0.11
title 180: 0.11
title 412: 0.11
title 237: 0.11
title 534: 0.11
title 603: 0.11
